Sr no,Name,MoneyControl_link,News_link
184,Gulf+Oil+Lubricants+India+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
185,Hatsun+Agro+Products+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
186,Havells+India+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
187,HCL+Technologies+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
188,HDFC+Bank+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
189,HEG+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
190,HeidelbergCement+India+Ltd.+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
191,Heritage+Foods+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
192,Hero+MotoCorp+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
193,Hexaware+Technologies+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
194,Himachal+Futuristic+Communications+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
195,Himadri+Speciality+Chemical+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
196,Himatsingka+Seide+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
197,Hindalco+Industries+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
198,Hindustan+Construction+Co+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
199,Hindustan+Copper+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
200,Hindustan+Petroleum+Corp+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
201,Hindustan+Unilever+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
202,Hindustan+Zinc+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
203,Housing+and+Urban+Development+Corporation+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
204,Housing+Development+%26+Infrastructure+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
205,Housing+Development+Finance+Corp+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
206,HSIL+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
207,ICICI+Bank+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
208,ICICI+Prudential+Life+Insurance+Company+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
209,ICRA+Ltd.+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
210,IDBI+Bank+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
211,Idea+Cellular+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
212,IDFC+Bank+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
213,IDFC+Limited+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
214,IFCI+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
215,IL%26FS+Transportation+Networks+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
216,India+Cements+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
217,Indiabulls+Housing+Finance+Limited+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
218,Indiabulls+Real+Estate+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
219,Indiabulls+Ventures+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
220,Indian+Bank+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
221,Indian+Hotels+Co+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
222,Indian+Oil+Corp+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
